ID,fixation_duration,fixation_duration_elmo,fixation_count,fixation_count_elmo,probability_elmo,proportion_elmo,task,XAI_value,overreliance,underreliance,reliance,matching_decision
O21,0.524164004759355,0.0,11,1,0.09090909090909091,0.0,10,0,1.0,,,
O21,0.9873785972595216,0.0,3,1,0.3333333333333333,0.0,10,0,1.0,,,
O22,1.8627925713857008,0.0,12,1,0.08333333333333333,0.0,10,0,1.0,,,
O22,1.2269245386123655,0.0,4,1,0.25,0.0,10,0,1.0,,,
O24,2.223799735307693,0.0,8,1,0.125,0.0,5,0,1.0,,,
O27,0.4288682738939921,0.0,48,1,0.020833333333333332,0.0,5,0,1.0,,,
O27,0.3003358159746442,0.0,7,1,0.14285714285714285,0.0,5,0,1.0,,,
O27,0.3355228503545125,0.0,24,1,0.041666666666666664,0.0,13,0,1.0,,,
O27,0.7992019653320312,0.0,1,1,1.0,0.0,13,0,1.0,,,
O28,1.1216143767038982,0.0,6,1,0.16666666666666666,0.0,10,0,1.0,,,
O28,0.9818312644958496,0.0,5,1,0.2,0.0,10,0,1.0,,,
O28,1.344654560089111,0.0,2,1,0.5,0.0,13,0,1.0,,,
O28,2.175094246864319,0.0,2,1,0.5,0.0,13,0,1.0,,,
O29,1.4660492897033692,0.7188576698303223,5,5,1.0,0.4903366311618153,10,0,1.0,,,
O29,0.9910372893015544,0.4224193096160888,3,6,2.0,0.42623957158442943,10,0,1.0,,,
O29,1.9248668352762857,0.5726619958877563,3,4,1.3333333333333333,0.29750733162045434,13,0,1.0,,,
O29,1.8342987298965447,0.4957634210586548,4,4,1.0,0.2702740905711776,13,0,1.0,,,
O30,2.953869342803955,0.0,15,1,0.06666666666666667,0.0,5,0,1.0,,,
O30,2.065000136693319,0.0,3,1,0.3333333333333333,0.0,5,0,1.0,,,
O31,0.4314174056053161,0.0,8,1,0.125,0.0,10,0,1.0,,,
O31,0.9900277853012084,0.0,6,1,0.16666666666666666,0.0,10,0,1.0,,,
O32,1.379454480277167,0.3878755752856915,18,13,0.7222222222222222,0.28118040923522,10,0,1.0,,,
O32,0.9513086213005914,0.181588590145111,9,4,0.4444444444444444,0.1908829438514394,10,0,1.0,,,
O32,0.8041211423419771,0.0,21,1,0.047619047619047616,0.0,13,0,1.0,,,
O32,0.901926612854004,0.0,5,1,0.2,0.0,13,0,1.0,,,
O33,1.0277297401428225,0.0,25,1,0.04,0.0,5,0,1.0,,,
O33,2.7120415369669595,0.0,12,1,0.08333333333333333,0.0,5,0,1.0,,,
O34,1.452674286706107,0.3328384594483809,7,22,3.142857142857143,0.22912118875806742,5,0,1.0,,,
O34,2.2889254093170166,0.3178874083927699,1,7,7.0,0.13888063241327864,5,0,1.0,,,
O34,2.513355255126953,0.0,3,1,0.3333333333333333,0.0,10,0,1.0,,,
O34,1.035900592803955,0.0,2,1,0.5,0.0,10,0,1.0,,,
OX22,1.6998445254105787,0.0,13,1,0.07692307692307693,0.0,5,1,1.0,,,
OX22,2.1192859411239624,0.0,12,1,0.08333333333333333,0.0,5,1,1.0,,,
OX31,1.487004280090332,0.0866010785102844,1,4,4.0,0.05823862087674932,5,1,1.0,,,
OX31,1.024532353878021,0.0,20,1,0.05,0.0,5,1,1.0,,,
OX34,0.610291063785553,0.3948926925659179,16,1,0.0625,0.6470563244305954,13,1,1.0,,,
OX34,0.9894732306985294,0.3647856031145368,17,14,0.8235294117647058,0.36866646999334424,13,1,1.0,,,
O21,0.524164004759355,0.0,11,1,0.09090909090909091,0.0,10,0,1.0,,,
O21,0.9873785972595216,0.0,3,1,0.3333333333333333,0.0,10,0,1.0,,,
O22,1.8627925713857008,0.0,12,1,0.08333333333333333,0.0,10,0,1.0,,,
O22,1.2269245386123655,0.0,4,1,0.25,0.0,10,0,1.0,,,
O24,2.223799735307693,0.0,8,1,0.125,0.0,5,0,1.0,,,
O27,0.4288682738939921,0.0,48,1,0.020833333333333332,0.0,5,0,1.0,,,
O27,0.3003358159746442,0.0,7,1,0.14285714285714285,0.0,5,0,1.0,,,
O27,0.3355228503545125,0.0,24,1,0.041666666666666664,0.0,13,0,1.0,,,
O27,0.7992019653320312,0.0,1,1,1.0,0.0,13,0,1.0,,,
O28,1.1216143767038982,0.0,6,1,0.16666666666666666,0.0,10,0,1.0,,,
O28,0.9818312644958496,0.0,5,1,0.2,0.0,10,0,1.0,,,
O28,1.344654560089111,0.0,2,1,0.5,0.0,13,0,1.0,,,
O28,2.175094246864319,0.0,2,1,0.5,0.0,13,0,1.0,,,
O29,1.4660492897033692,0.7188576698303223,5,5,1.0,0.4903366311618153,10,0,1.0,,,
O29,0.9910372893015544,0.4224193096160888,3,6,2.0,0.42623957158442943,10,0,1.0,,,
O29,1.9248668352762857,0.5726619958877563,3,4,1.3333333333333333,0.29750733162045434,13,0,1.0,,,
O29,1.8342987298965447,0.4957634210586548,4,4,1.0,0.2702740905711776,13,0,1.0,,,
O30,2.953869342803955,0.0,15,1,0.06666666666666667,0.0,5,0,1.0,,,
O30,2.065000136693319,0.0,3,1,0.3333333333333333,0.0,5,0,1.0,,,
O31,0.4314174056053161,0.0,8,1,0.125,0.0,10,0,1.0,,,
O31,0.9900277853012084,0.0,6,1,0.16666666666666666,0.0,10,0,1.0,,,
O32,1.379454480277167,0.3878755752856915,18,13,0.7222222222222222,0.28118040923522,10,0,1.0,,,
O32,0.9513086213005914,0.181588590145111,9,4,0.4444444444444444,0.1908829438514394,10,0,1.0,,,
O32,0.8041211423419771,0.0,21,1,0.047619047619047616,0.0,13,0,1.0,,,
O32,0.901926612854004,0.0,5,1,0.2,0.0,13,0,1.0,,,
O33,1.0277297401428225,0.0,25,1,0.04,0.0,5,0,1.0,,,
O33,2.7120415369669595,0.0,12,1,0.08333333333333333,0.0,5,0,1.0,,,
O34,1.452674286706107,0.3328384594483809,7,22,3.142857142857143,0.22912118875806742,5,0,1.0,,,
O34,2.2889254093170166,0.3178874083927699,1,7,7.0,0.13888063241327864,5,0,1.0,,,
O34,2.513355255126953,0.0,3,1,0.3333333333333333,0.0,10,0,1.0,,,
O34,1.035900592803955,0.0,2,1,0.5,0.0,10,0,1.0,,,
OX22,1.6998445254105787,0.0,13,1,0.07692307692307693,0.0,5,1,1.0,,,
OX22,2.1192859411239624,0.0,12,1,0.08333333333333333,0.0,5,1,1.0,,,
OX31,1.487004280090332,0.0866010785102844,1,4,4.0,0.05823862087674932,5,1,1.0,,,
OX31,1.024532353878021,0.0,20,1,0.05,0.0,5,1,1.0,,,
OX34,0.610291063785553,0.3948926925659179,16,1,0.0625,0.6470563244305954,13,1,1.0,,,
OX34,0.9894732306985294,0.3647856031145368,17,14,0.8235294117647058,0.36866646999334424,13,1,1.0,,,
O21,2.0176339149475098,1.102602481842041,5,1,0.2,0.5464829242180567,7,0,,1.0,,
O21,0.6437617329990163,0.0,17,1,0.058823529411764705,0.0,7,0,,1.0,,
O21,1.2288453380266826,0.2017405209717927,12,27,2.25,0.16417079898415354,14,0,,1.0,,
O21,0.4053905540042453,0.3447098391396658,18,7,0.3888888888888889,0.850315419870528,14,0,,1.0,,
O24,0.8249390125274658,0.0,4,1,0.25,0.0,2,0,,1.0,,
O24,5.208802580833435,0.0,2,1,0.5,0.0,6,0,,1.0,,
O24,0.9912896951039633,0.0,3,1,0.3333333333333333,0.0,6,0,,1.0,,
O24,1.269866704940796,0.0,2,1,0.5,0.0,9,0,,1.0,,
O24,1.041204531987508,0.0,6,1,0.16666666666666666,0.0,9,0,,1.0,,
O24,0.9082750976085664,0.0,8,1,0.125,0.0,11,0,,1.0,,
O24,1.1957132418950398,0.0,6,1,0.16666666666666666,0.0,11,0,,1.0,,
O25,0.983558434706468,0.0,13,1,0.07692307692307693,0.0,2,0,,1.0,,
O25,2.408689546585083,0.0,5,1,0.2,0.0,2,0,,1.0,,
O25,0.6636755019426346,0.4443024794260661,16,3,0.1875,0.6694574052011186,6,0,,1.0,,
O25,1.3342126607894895,0.0,2,1,0.5,0.0,6,0,,1.0,,
O25,0.9551031291484832,0.0,8,1,0.125,0.0,7,0,,1.0,,
